Livello1;Super Gruppo - Livello2;Nome Gruppo - Livello 3;Risonanze - Livello 4;Descrizione;Immagine
Modulo CIEM;;;;;
Modulo CIEM;Sistemi CIEM;;;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Stimolatore su Agopunti;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Stimolatore su Agopunti Auricolo;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Acqua Informata;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Rimedio Informato;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Soluzione Colloidale Informata;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Energetico Suono;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Energetico Elettrico ;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Energetico Magnetico;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Energetico Infrarosso;;
Modulo CIEM;Sistemi CIEM;Sistema Informazionale IS;Energetico Occhiali Led;;
Modulo CIEM;Sistemi CIEM;Sistema Frequenziale FS;Applicatori;;
Modulo CIEM;Sistemi CIEM;Sistema Frequenziale FS;Frequency Generator;;
Modulo CIEM;Sistemi CIEM;Sistema Frequenziale FS;Trattamenti;;
Modulo CIEM;Sistemi CIEM;Sistema Frequenziale FS;Trattamento frequenza Rife a canale singolo;;
Modulo CIEM;Sistemi CIEM;Sistema Frequenziale FS;Trattamento frequenza a doppio canale;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup ;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 0 piastra piedi;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 0 fascia testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 0 tappetino cuore;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 0 tappetino pancia;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino cuore;;
